Week,SearchTrends,Quarterly Revenue (Billions),Closing Price,SMP Close,article_count,comp_sentiment,pos_ratio,neg_ratio
2021-07-09,54,7.5,117.47,4369.2099609375,1.0,0.3818,0.075,0.0
2021-07-16,51,7.5,118.73,4323.06005859375,1.0,-0.5994,0.0,0.098
2021-07-23,53,7.5,125.97,4401.4599609375,,,,
2021-07-30,54,7.5,121.43,4423.14990234375,1.0,0.0,0.0,0.0
2021-08-06,51,7.5,119.05,4436.75,,,,
2021-08-13,51,7.5,116.76,4448.080078125,1.0,-0.3031,0.0,0.071
2021-08-20,54,7.5,114.63,4486.22998046875,,,,
2021-08-27,63,7.5,115.12,4522.68017578125,,,,
2021-09-03,54,7.5,117.19,4520.02978515625,2.0,0.125,0.0745,0.0455
2021-09-10,56,7.5,119.34,4443.0498046875,,,,
2021-09-17,51,7.5,113.41,4354.18994140625,,,,
2021-09-24,53,7.5,114.11,4352.6298828125,1.0,0.5423,0.127,0.0
2021-10-01,53,7.5,112.92,4345.72021484375,,,,
2021-10-08,48,7.5,111.22,4350.64990234375,,,,
2021-10-15,49,8.1,111.45,4519.6298828125,,,,
2021-10-22,50,8.1,114.55,4574.7900390625,2.0,-0.01935,0.0,0.016
2021-10-29,48,8.1,106.07,4630.64990234375,,,,
2021-11-05,63,8.1,116.91,4685.25,1.0,-0.3182,0.0,0.087
2021-11-12,63,8.1,111.72,4700.89990234375,2.0,-0.0459499999999999,0.034,0.0335
2021-11-19,66,8.1,110.78,4690.7001953125,,,,
2021-11-26,71,8.1,110.66,4567.0,,,,
2021-12-03,47,8.1,111.24,4686.75,,,,
2021-12-10,52,8.1,116.73,4634.08984375,1.0,-0.0217,0.068,0.088
2021-12-17,54,8.1,108.63,4649.22998046875,1.0,0.7783,0.19,0.0
2021-12-31,69,8.1,116.97,4793.5400390625,,,,
2022-01-07,56,8.1,107.57,4713.06982421875,1.0,-0.3182,0.0,0.084
2022-01-14,48,8.1,100.12,4577.10986328125,1.0,0.7096,0.227,0.07
